query_id,query,lifeCycle,department,disease,correct_idx,correct_input,verified,tfidf_top5,sbert_top5,tfidf_score1,sbert_score1
Q011,"5살 암컷 강아지 중성화 수술을 고민 중인데, 안 하면 자궁수종 외에 어떤 외와 적인 질병에 걸릴 위험이 있나요? 유선종양이나 자궁축농증이 얼마나 심각한 질병인지, 그리고 중성화 수술로 정말 예방이 가능한지 궁금합니다. 지금 수술하기에 너무 늦은 건 아닌지, 마취 위험은 어느 정도인지 걱정됩니다. 호흡기 질환이 있는 것으로 데 안전하게 수술받을 수 있는 것으로 방법과 수술 후 회복 기간은 어떻게 되나요? 헹굼 시간 기준에서 우리 아가 에게 맞춘 조정 기준이 있을까요 짧게 설명해 주실 수 있을까요? 가려움 완화를 바로 적용할 수 있게 순서를 정리해 주세요 핵심만 부탁드립니다 요점 위주로 설명해 주실 수 있을까요? 스트레스 관리를 주간 계획으로 운용하려면 어떻게 하면 좋을까요 중복 없이 정리해 주세요 실행 순서로 안내해 주실 수 있을까요? 헹굼 시간 기준을 바로 적용할 수 있게 순서를 정리해 주세요 요점 위주로 설명해 주세요 요점 위주로 설명해 주실 수 있을까요?",자견,외과,중성화수술,2245,노령의 마르티즈 암컷을 한 마리 기르고 있습니다. 그런데 이 강아지의 젖꼭지 옆에 빨간색으로 부풀어 오른 종기와 함께 흑색으로 보이는 물혹이 생긴 것처럼 보입니다. 혹시 이러한 증...,True,"[2245, 276, 5334, 5393, 7251]","[15224, 670, 15055, 12435, 6601]",0.426,0.8641
Q012,"저희 강아지는 현재 4개월 30일 정도 된 푸들입니다. 아래쪽 유치가 몇 개 빠지고 영구치가 올라오고 있는 상황입니다. 위쪽 유치 또한 몇 개 빠지면서 영구치가 두 개 올라오고 있는데, 그 중 하나는 유치가 빠지지 않은 상태에서 영구치가 올라오는 것에 대해 문제가 발생할 가능성이 있는지 궁금합니다.",자견,치과,기타,7224,"강아지의 유치와 관련하여 궁금한 점이 있습니다. 현재 강아지의 윗니 유치가 하나도 빠지지 않은 상태인데, 영구치가 이미 나고 있는 상황입니다. 이런 경우에는 어떻게 해야 할지 조언...",True,"[7224, 2273, 10368, 3068, 2823]","[14357, 7224, 4600, 5332, 15286]",0.3068,0.7991
Q013,"안녕하세요, 저희 강아지가 포도껍질을 반 개가 량 씹어서 먹어버렸습니다. 어제부터 오늘까지 설사나 구토를 하지 않고 있으며, 전반적인 컨디션도 정상인 것처럼 보입니다. 일반적으로 이러한 증상은 한 시간 내에 나타난다고 하는데, 현재로서는 이상이 없는 것 같아서 안심이 됩니다. 저희 강아지는 1살이 며 몸무게는 대략 6kg입니다. 이 상황에 대해 어떻게 생각하시는 지 궁금합니다.",자견,내과,급성신부전,12400,"급히 문의 드립니다. 제 강아지가 포도껍질을 섭취하였는데, 포도 한 송이를 모두 먹고 제가 방에 들어가서 휴대폰을 사용하고 있는 사이, 강아지가 포도껍질을 다 먹어버렸습니다. 지금...",True,"[12400, 11770, 13084, 16078, 18659]","[4362, 703, 1647, 1039, 15863]",0.1477,0.7951
Q014,"저희 애완견이 다음 주 월요일에 내안각 수술을 받을 예정입니다. 수술 과정에서 마취를 진행하는 것으로 알고 있는데, 이로 인해 사망할 위험이 있는지 궁금합니다. 또한, 수술 전에 금식 등의 준비사항에 대한 설명이 전혀 없었기에 걱정이 큽니다. 저희 애기에게 있어서는 매우 중대한 수술일 것으로 예상되는데, 이에 대한 충분한 설명 없이 진행되는 것에 대해 의문이 많습니다. 내안각 수술 중에 사망할 가능성은 있는 것인지요?",자견,안과,기타,9940,"저희 집에 있는 암컷 개가 현재 7세에서 8세 사이에 해당하는데, 중성화 수술을 실시해야 할지에 대해 고민하고 있습니다. 중성화 수술을 진행하는 이유와 함께, 제 애가 신체적으로 ...",True,"[9940, 14941, 15100, 10544, 9510]","[5807, 15715, 8241, 15319, 7888]",0.1762,0.845
Q015,"최근 갑자기 저희 강아지의 입에서 비릿한 피냄새가 나기 시작했습니다. 육안으로는 특별한 이상이 보이지 않았고, 평소에는 구취가 없던 아이였기에 더 걱정됩니다. 병원에 방문할 계획은 있지만 당장은 어려운 상황이라, 이런 냄새의 원인이 구강 문제인지 아니면 내과적인 원인이 있을 수 있는지 궁금합니다. 또한 이럴 때 보호자가 응급으로 확인하거나 조치할 수 있는 사항이 있다면 알고 싶습니다.",자견,치과,기타,18448,제가 기르는 강아지의 소변 냄새가 예전과 는 사뭇 다르게 느껴져 염려가 됩니다. 이전에는 특별히 강하지 않았던 냄새가 요즘 들어 한층 더 농후해지고 비릿한 느낌을 주고 있습니다. ...,True,"[18448, 14027, 4832, 3537, 1858]","[9718, 18325, 9930, 3251, 5878]",0.1616,0.8461
Q016,"강아지에게 비장종양, 슬개골 탈구 3기, 그리고 디스크 증상이 확인되었습니다. 이에 따라 진단을 위해 MRI 촬영을 진행하고자 합니다. 하지만, 제가 우선적으로 어떤 치료를 고려해야 할지에 대한 확신이 부족합니다. 슬개골 탈구 수술을 시행하면서 건강 검진을 진행하였을 때 비장종양이 발견되었습니다. 이러한 상황에서 비장종양 수술을 먼저 수행해야 하는지, 아니면 슬개골 수술이 우선인지를 결정하기가 어렵습니다. 만약 비장종양 수술을 먼저 진행하고 나면 면역력이 떨어질까봐 우려됩니다. 한편, 슬개골 수술을 먼저 수행한 후 비장종양 수술을 시행할 경우 비장종양에 문제가 생길까 하는 불안감도 존재합니다. 이러한 우선순위에 대한 조언을 부탁드립니다.",자견,외과,무릎뼈 탈구,7063,"저희 강아지가 벌써 7개월이 되었는데, 아직 미용을 하지 않았습니다. 그래서 미용을 하려고 병원에 문의했으나, 병원에서는 중성화 수술을 먼저 시행해야 한다고 말씀하셨습니다. 이러한...",True,"[7063, 954, 6583, 3881, 5100]","[5342, 4804, 5515, 2683, 4589]",0.1936,0.8486
Q017,"제 반려견의 심장이 빠르게 뛰는 것으로 보이는데, 일반적인 개들보다 두세 배 정도 더 빠르게 뛰고 있는 것으로 것 같습니다. 현재 7개월 된 포메라니안이 며, 얼마전 방문한 동물병원에서도 정확한 정보를 제공받지 못한 것 같아 걱정스럽습니다. 이러한 상황에 대해 어떻게 대처해야 할까요?",자견,내과,기타,5545,"강아지가 닭뼈를 섭취한 후, 특별히 켁켁거리거나 구토를 하는 증상은 보이지 않습니다만, 현재 자고 있는 동안 호흡이 빠르게 진행되고 있습니다. 이러한 상황에 대해 어떻게 대처해야 ...",True,"[5545, 9870, 13079, 8269, 13232]","[3894, 17223, 8942, 15445, 1980]",0.1882,0.8356
Q018,"제가 키우고 있는 포메라니안의 피부 상태가 매우 좋지 않은데, 이전에는 이렇게 심하게 악화되지 않았습니다. 그런데 갑자기 상태가 나빠지고 냄새도 납니다. 이러한 증상은 무엇을 의미하는 것인지 궁금합니다. 이전에 병원에서 약을 처방 받아 사용했지만, 효과를 보지 못하고 다시 악화되었습니다. 이러한 증상과 또한 제 강아지가 털이 빠지는 것과 연관이 있는지 알고 싶습니다.",성견,피부과,기타,12887,"저희 집에서 기르고 있는 강아지가 털이 덩어리로 빠지고 있으며, 살도 빠지는 것처럼 보여서 매우 걱정스럽습니다. 이 상황이 여름철 털갈이로 인한 것인지, 혹은 건강상의 문제를 나타...",True,"[12887, 18623, 3699, 4775, 6464]","[8228, 15352, 3280, 10981, 7794]",0.1448,0.8807
Q019,"저의 집에서 기르고 있는 것으로 리트리버 강아지가 메로나를 매우 원하며 짖은 모습을 보였습니다. 이에 따라 무심코 그 음식을 주었는데, 강아지가 그 메로나를 통째로 씹어먹고 나서 갑자기 나무조각까지 삼키더군요. 그 상황을 지켜보며 매우 놀라운 마음을 감출 수 없었습니다. 여러 마리 강아지를 키운 경험이 있지만, 이렇게 무엇이 든 통째로 삼키는 강아지를 목격한 것은 처음이 어서 큰 걱정이 됩니다. 문제는 강아지가 삼킨 메로나와 나무가 소화기관에서 어떤 방식으로 처리될지에 대한 것입니다. 통째로 삼킨 경우, 이러한 물질들이 소화될 가능성이 있는지, 혹은 나무조각이 장에 문제를 초래할 수 있는지에 대해 염려가 큽니다. 이러한 비상 상황에서는 즉시 동물병원에 방문해야 하는 것인지, 아니면 일정 시간 지켜보아도 무방한 것인지, 강아지가 어떤 증상을 보일 경우에 병원에 가야 하는지에 대한 안내를 받아보고 싶습니다.",성견,내과,위장관폐색,1798,"제가 리트리버를 기르고 있는데, 방금 전 메로나를 먹으려다 강아지가 너무 간절하게 달라고 짖어서 살짝 주게 되었습니다. 그때 특별히 깊이 고민하지 않고 강아지에게 주었는데, 놀랍게...",True,"[1798, 10160, 14959, 14319, 13320]","[1798, 14118, 8638, 11839, 4896]",0.2158,0.8873
Q020,"현재 저는 10살 된 말티즈를 기르고 있으며, 지난 3월부터 이 강아지가 급격히 야위어가는 모습을 보았습니다. 나이가 들어 감에 따라 오른쪽 앞다리가 탈골되는 상황까지 이르러 제대로 걷지도 못하게 되었습니다. 최근 몇 주 동안 강아지의 입냄새 또한 심해지고 있으며, 거의 매일 병원에 가서 수액치료를 받고 있는 상태입니다. 제가 전역한 지 얼마 되지 않아 강아지의 상태가 이렇게 심각한지 제대로 인지하지 못하였으나, 얼마 전부터 신장이 매우 좋지 않다는 사실을 알게 되었습니다. 특히, 요즘 강아지가 심한 냄새를 풍기고 걷는 모습이 불편해 보이면서 그동안 제가 미처 몰랐던 많은 고통을 겪고 있다는 것을 깨닫게 되었습니다. 어머니께서는 병원에서 현재 상태로도 여전히 오랫동안 살아갈 수 있다고 말씀하셨으나, 그 말이 사실인지에 대해 의구심이 듭니다. 혹시 제가 걱정을 너무 깊게 하고 있는 것인지도 모릅니다. 강아지는 식사도 제대로 하지 못하고 3월 이후로 더욱 야위어 있으며, 최근에는 입냄새가 심해져 며칠 전부터는 매일 병원에 가서 수액치료를 받고 있습니다. 이러한 상황에서 과연 이 강아지가 얼마나 더 생존할 수 있을지 궁금합니다. 인터넷에서 찾아본 결과 신장 문제가 진단된 경우 치료가 거의 불가능하다는 이야기를 접했는데, 이 점이 사실인지 확인하고 싶습니다. 만약 맞다면 어떻게 현재의 상태를 유지해야 할지, 또한 올바른 관리가 이루어진다면 강아지는 언제까지 생존할 수 있을지에 대해서도 알고 싶습니다.",성견,내과,기타,4808,강아지가 사람의 음식을 섭취할 경우 평균적으로 얼마나 오랫동안 생존할 수 있는지 궁금합니다....,True,"[4808, 3143, 2550, 1179, 10385]","[1749, 6420, 14628, 2817, 18515]",0.1553,0.8528
Q021,"저희 강아지가 물을 과도하게 섭취하고 있습니다. 물을 가득 채워주면 단 몇 분 안에 모두 마셔버리는 상황입니다. 또한, 대변과 소변은 실내에서는 보지 않고 외부에서만 해결해야 하는데, 이러한 행동을 어떻게 훈련시킬 수 있을까요? 게다가 바닥에 있는 것으로 다양한 물체를 무차별적으로 섭취하는 경향이 있습니다. 예를 들어, 풍선, 휴지 또는 물티슈 같은 물품들을 먹고 있습니다. 저희 강아지가 바닥에서 균형을 잃고 휘청거리는 경우도 있어, 병원에 내원하는 것이 필요한지 궁금합니다. 만약 이 문제를 해결할 수 있는 것으로 방안이 있다면 꼭 알려주시기 바랍니다. 참고로 저희 강아지는 나이가 좀 있습니다.",성견,내과,기타,7482,"최근에 제 강아지가 물을 거의 마시지 않는데, 이 문제를 해결할 수 있는 방법이 있을까요?...",True,"[7482, 14901, 14794, 9959, 172]","[574, 18892, 12617, 14118, 19111]",0.1784,0.7979
Q022,"저희 집 5개월된 비글 강아지가 우연히 포도를 섭취하여 걱정이 되어 이와 관련하여 문의 드립니다. 오늘 강아지가 포도를 5알 먹었고, 일부 씨와 껍질도 함께 삼킨 것으로 추정됩니다. 포도가 강아지에게 매우 위험한 음식이라는 얘기를 들었기에, 지금 즉시 어떤 조치를 취해야 할지 고민하고 있습니다. 현재로서는 특별한 이상 증세는 보이지 않지만, 시간이 지나면서 어떤 증상이 발생할지 매우 우려스럽습니다. 포도가 강아지의 건강에 미칠 수 있는 영향과, 즉각적으로 어떤 조치를 취해야 하는지 상세히 안내해 주시면 대단히 감사하겠습니다. 특히, 이 상황에서 병원에 꼭 방문해야 하는지, 아니면 집에서 관찰만 해도 되는지에 대한 조언도 부탁드립니다.",성견,내과,중독,14066,"저희 집에서 기르고 있는 2년 3개월 된 푸들이 갑자기 포도를 먹고 싶어 하는 듯한 행동을 보였습니다. 그래서 어쩔 수 없이 포도의 알맹이는 제가 먹고, 껍질에서 즙만 짜서 약 5...",True,"[14066, 13705, 1933, 9824, 5550]","[1933, 11071, 16370, 2774, 4099]",0.2434,0.8831
Q023,"저희 아이는 현재 12개월 된 골든 리트리버 암컷입니다. 몇 개월 전부터 잇몸에 작은 혹처럼 보이는 것이 생겼는데, 지금은 콩알만큼 커졌습니다. 최근에는 아이가 물거나 장난칠 때 그 부위에서 피가 나는 일이 생기고 있어 걱정이 됩니다. 이 혹에 대해 어떤 치료가 필요한지 알고 싶습니다.",성견,치과,치은염,14273,1살 된 중성화된 암컷 푸들의 잇몸이 6개월 전부터 부풀어 오르고 출혈이 발생하는 상황이 지속되고 있습니다. 양치를 할 때마다 피가 나고 아이가 싫어해서 이를 계속 해야 할지 고민...,True,"[14273, 3498, 14288, 1424, 4873]","[5880, 3673, 8091, 2947, 14075]",0.1806,0.7758
Q024,"10세 된 강아지의 슬개골 탈구 수술에 관하여 질문을 드립니다. 오늘 동물병원에 방문하여 진단을 받았는데, 두 쪽의 뒷다리가 모두 슬개골 탈구 3기로 확인되었습니다. 저희 강아지가 10세로 노견인만큼 수술 후 완치가 불가능할 것이라는 우려가 있었습니다. 또한, 전신 마취가 노견에게 위험할 수 있으며, 이로 인해 마취에서 깨어나지 않을 위험성도 있다고 이야기를 들었습니다. 강아지는 오늘 갑작스럽게 이러한 증상이 나타났으며, 현재 절뚝거리면서 정상적으로 걷지 못하고 있는 상황입니다. 이 저희 강아지에게 어떤 조치를 취해야 할지를 조언해 주시면 감사하겠습니다.",성견,외과,기타,6583,"요크셔 테리어 슬개골 탈구 3기 판정을 받았는데, 몇 가지 문의드릴 사항이 있어 질문을 남깁니다. 현재 제가 기르고 있는 강아지는 9세 수컷 요크셔 테리어입니다. 최근 갑작스럽게 ...",True,"[6583, 3881, 3559, 954, 10745]","[13, 4473, 6607, 16761, 2410]",0.2549,0.8742
Q025,"제 강아지가 호흡과 관련하여 질문이 있습니다. 최근에 강아지가 숨을 조금 더 빠르게 쉬는 경향이 있는 것으로 것 같는데, 혹시 어떤 질병이 나 통증이 있는 것인지 궁금합니다. 보호 장구 사용 요령에서 중요한 포인트를 알려 주실 수 있을까요 요점 위주로 부탁드립니다 간단히 알려 주실 수 있을까요?",성견,내과,기타,6958,저는 4개월 된 비숑을 기르고 있습니다. 현재 유치가 깨진거 같고 이로 인해 잇몸 주위가 부어올라 보이기도 하여 걱정이 되고 있습니다. 지금 상태가 괜찮은 걸까요? 병원에 바로 가...,True,"[6958, 11953, 15497, 1117, 12296]","[12254, 16547, 18516, 1611, 9825]",0.3606,0.8388
Q026,"강아지가 목에 무언가 걸린 듯한 상태로 켁켁거리며 기침을 하는 증상을 보이고 있습니다. 이번 월요일에 갑자기 이러한 증상이 나타났으며, 현재까지도 10회 이상 반복되고 있는 것 같습니다. 이와 같은 증상이 나타나는 이유는 무엇인지 알고 싶습니다. 금요일에 치킨 뼈를 급여한 일이 있는데, 그것과 관련이 있을까요?",성견,내과,위장관폐색,9920,"제 강아지가 목에 무언가 걸린 듯이 지속적으로 켁켁거리고 있으며, 코가 막힌 것처럼 자주 숨을 헐떡입니다. 이러한 증상은 단지 한 번만 발생한 것이 아니라 가끔씩 반복되고 있습니다...",True,"[9920, 8730, 15540, 15197, 4257]","[4748, 6633, 11761, 7465, 14466]",0.2125,0.8271
Q027,"현재 6세 된 시바가 누의 중성화되지 않은 수컷을 기르고 있습니다. 강아지는 현재 4층 계단을 오를 때 잠시 쉬었다 올라가 고 있으며, 저녁 시간에는 엎어진 자세로만 누워 있는 것으로 모습을 보이고 있습니다. 오늘 아침에는 강아지의 상태가 더욱 악화되어 엎드린 자세에서 돌려 앉은 것도 어려워 보였으며, 평소처럼 쾌활하게 걷지 않고 있는 것으로 것 같습니다. 새로운 환경에 도착했을 때 원래는 매우 활발한 반응을 보였으나, 이번에는 기력이 떨어진 듯하며 좌석에 올라가 는 것도 불편해 보입니다. 아울러, 강아지는 이미 2년 전부터 혈뇨를 경험해왔으며, 초기에는 소변을 보지 못해 요도 확장제와 염증 치료제를 투여한 바 있습니다. 이러한 요도 확장제를 1년이 량 사용했으나, 여전히 소변을 잘 보지 못하고 약하게 보다가 현재는 혈뇨 증상이 나타나고 있습니다. 초반에는 소변이 시작할 때 한 방울씩 나왔지만, 최근에는 소변을 한꺼번에 볼 때에는 혈뇨가 보이지 않고 몇 방울씩 피가 섞여 나오고 있으며, 약을 복용할 때는 상태가 괜찮았습니다. 하지만 하루 동안 식욕 부진을 보이고 꼬리가 처지는 모습이 관찰되었으며, 창문에 설 때에는 머뭇거리는 행동을 보였습니다. 뒷다리에 표피염이 3차례 발생하여 치료를 받은 이력이 있으며, 피는 주로 소변의 앞부분에서 나오는 것으로 확인되었습니다. 3-5개월 전에는 항생제를 복용한 것 또한 사실이 며, 뇨검사에서 대장균이 발견되었다고 들었습니다. 항염 외용제 사용을 시작할 때 흔히 하는 실수도 알려 주실 수 있을까요? 피부 장벽 회복을 주간 계획으로 어떻게 배치하면 좋을까요 비슷한 질환과 구분 기준도 알려 주실 수 있을까요? 검사 우선순위에서 중요한 포인트를 알려 주실 수 있을까요 비슷한 질환과 구분 기준도 알려 주실 수 있을까요 주의할 점도 함께 알려 주세요. 내원 시점을 집에서 실천할 때 꼭 지켜야 할 점이 있을까요 주의할 점도 함께 알려 주세요.",성견,내과,기타,17836,"14세의 중성화된 수컷 말티즈입니다. 4층 계단을 오르내릴 때 쉬어가며 올라가고 있으며, 저녁에는 엎드린 자세로만 누워 있는 경우가 많습니다. 오늘 아침에는 상태가 더욱 악화되어 ...",True,"[17836, 14249, 15556, 5708, 635]","[15556, 14249, 17836, 14201, 4777]",0.3718,0.8944
Q028,"저희 개는 현재 11세입니다. 개의 전반적인 행동이나 식사 상태는 모두 양호하나, 항문 부위에 고름과 피가 보이며 그 상태가 더욱 악화되고 있습니다. 병원에 데려가고 싶으나, 개가 매우 사나운 탓에 어려움을 겪고 있습니다. 이와 관련하여, 집에서 할 수 있는 치료 방법이 있을지 문의 드립니다. 참고로 동물병원에서 구매한 핑크 스프레이를 가끔 뿌리고 있습니다.",성견,외과,기타,9553,"제 강아지는 현재 11세입니다. 일반적으로 움직임과 식사는 모두 양호합니다. 그러나 최근에 항문 부위에 고름과 같은 물질이 보이고 피가 흐르는 증상이 나타났고, 이 증상은 시간이 ...",True,"[9553, 16591, 2913, 8202, 2078]","[9553, 16733, 6916, 2484, 6518]",0.3271,0.9314
